ProjectID,DeliverableName,StartDate,EndDate,Duration(Days)
18,Design Document,2018-06-17,2018-07-10,24
18,Code,2018-07-11,2018-07-26,16
18,Unit Test,2018-07-27,2018-08-08,13
18,System Test,2018-08-09,2018-09-18,41
19,Project Plan,2017-05-01,2017-05-10,10
19,Requirements Specification,2017-05-11,2017-05-29,19
19,Design Document,2017-05-30,2017-06-15,17
19,Code,2017-06-16,2017-06-29,14
19,Unit Test,2017-06-30,2017-07-09,10
19,System Test,2017-07-10,2017-09-11,64
20,Project Plan,2015-02-04,2015-02-12,9
20,Requirements Specification,2015-02-13,2015-03-04,20
20,Design Document,2015-03-05,2015-03-28,24
20,Code,2015-03-29,2015-04-08,11
20,Unit Test,2015-04-09,2015-04-20,12
20,System Test,2015-04-21,2015-06-06,47
21,Project Plan,2019-09-28,2019-10-08,11
21,Requirements Specification,2019-10-09,2019-10-25,17
21,Design Document,2019-10-26,2019-11-24,30
21,Code,2019-11-25,2019-12-04,10
21,Unit Test,2019-12-05,2019-12-15,11
21,System Test,2019-12-16,2020-02-14,61
22,Project Plan,2019-07-09,2019-07-16,8
22,Requirements Specification,2019-07-17,2019-08-03,18
22,Design Document,2019-08-04,2019-08-28,25
22,Code,2019-08-29,2019-09-10,13
22,Unit Test,2019-09-11,2019-09-16,6
22,System Test,2019-09-17,2019-10-26,40
23,Project Plan,2017-06-27,2017-07-03,7
23,Requirements Specification,2017-07-04,2017-07-24,21
23,Design Document,2017-07-25,2017-08-14,21
23,Code,2017-08-15,2017-09-02,19
23,Unit Test,2017-09-03,2017-09-10,8
23,System Test,2017-09-11,2017-10-16,36
24,Project Plan,2020-11-22,2020-12-02,11
24,Requirements Specification,2020-12-03,2020-12-18,16
24,Design Document,2020-12-19,2021-01-12,25
24,Code,2021-01-13,2021-01-30,18
24,Unit Test,2021-01-31,2021-02-05,6
24,System Test,2021-02-06,2021-03-18,41
25,Project Plan,2015-04-10,2015-04-19,10
25,Requirements Specification,2015-04-20,2015-05-11,22
25,Design Document,2015-05-12,2015-05-31,20
25,Code,2015-06-01,2015-06-11,11
25,Unit Test,2015-06-12,2015-06-22,11
25,System Test,2015-06-23,2015-08-03,42
26,Project Plan,2018-05-04,2018-05-13,10
26,Requirements Specification,2018-05-14,2018-06-03,21
26,Design Document,2018-06-04,2018-06-25,22
26,Code,2018-06-26,2018-07-10,15
26,Unit Test,2018-07-11,2018-07-20,10
26,System Test,2018-07-21,2018-08-21,32
27,Project Plan,2019-06-21,2019-07-03,13
27,Requirements Specification,2019-07-04,2019-07-24,21
27,Design Document,2019-07-25,2019-08-13,20
27,Code,2019-08-14,2019-08-29,16
27,Unit Test,2019-08-30,2019-09-06,8
27,System Test,2019-09-07,2019-10-23,47
28,Project Plan,2018-04-23,2018-05-04,12
28,Requirements Specification,2018-05-05,2018-05-21,17
28,Design Document,2018-05-22,2018-06-18,28
28,Code,2018-06-19,2018-07-04,16
28,Unit Test,2018-07-05,2018-07-15,11
28,System Test,2018-07-16,2018-09-11,58
29,Project Plan,2017-12-06,2017-12-14,9
29,Requirements Specification,2017-12-15,2017-12-31,17
29,Design Document,2018-01-01,2018-01-21,21
29,Code,2018-01-22,2018-02-02,12
29,Unit Test,2018-02-03,2018-02-11,9
29,System Test,2018-02-12,2018-03-26,43
30,Project Plan,2015-08-18,2015-08-27,10
30,Requirements Specification,2015-08-28,2015-09-18,22
30,Design Document,2015-09-19,2015-10-13,25
30,Code,2015-10-14,2015-11-01,19
30,Unit Test,2015-11-02,2015-11-10,9
30,System Test,2015-11-11,2016-01-16,67
31,Project Plan,2018-08-16,2018-08-26,11
31,Requirements Specification,2018-08-27,2018-09-12,17
31,Design Document,2018-09-13,2018-10-02,20
31,Code,2018-10-03,2018-10-18,16
31,Unit Test,2018-10-19,2018-10-27,9
31,System Test,2018-10-28,2018-12-13,47
32,Project Plan,2018-06-27,2018-07-06,10
32,Requirements Specification,2018-07-07,2018-07-25,19
32,Design Document,2018-07-26,2018-08-15,21
32,Code,2018-08-16,2018-08-25,10
32,Unit Test,2018-08-26,2018-09-03,9
32,System Test,2018-09-04,2018-10-21,48
33,Project Plan,2019-03-02,2019-03-11,10
33,Requirements Specification,2019-03-12,2019-03-27,16
33,Design Document,2019-03-28,2019-04-21,25
33,Code,2019-04-22,2019-05-07,16
33,Unit Test,2019-05-08,2019-05-15,8
33,System Test,2019-05-16,2019-06-25,41
34,Project Plan,2017-11-16,2017-11-25,10
34,Requirements Specification,2017-11-26,2017-12-11,16
34,Design Document,2017-12-12,2018-01-06,26
34,Code,2018-01-07,2018-01-22,16
34,Unit Test,2018-01-23,2018-02-03,12
34,System Test,2018-02-04,2018-03-25,50
35,Project Plan,2019-01-13,2019-01-19,7
35,Requirements Specification,2019-01-20,2019-02-05,17
35,Design Document,2019-02-06,2019-03-04,27
35,Code,2019-03-05,2019-03-20,16
35,Unit Test,2019-03-21,2019-03-31,11
35,System Test,2019-04-01,2019-06-17,78
36,Project Plan,2020-11-19,2020-11-29,11
36,Requirements Specification,2020-11-30,2020-12-22,23
36,Design Document,2020-12-23,2021-01-19,28
36,Code,2021-01-20,2021-02-04,16
36,Unit Test,2021-02-05,2021-02-13,9
36,System Test,2021-02-14,2021-04-01,47
37,Project Plan,2016-03-14,2016-03-21,8
37,Requirements Specification,2016-03-22,2016-04-09,19
37,Design Document,2016-04-10,2016-05-02,23
37,Code,2016-05-03,2016-05-17,15
37,Unit Test,2016-05-18,2016-05-31,14
37,System Test,2016-06-01,2016-06-21,21
38,Project Plan,2019-09-06,2019-09-16,11
38,Requirements Specification,2019-09-17,2019-10-01,15
38,Design Document,2019-10-02,2019-10-24,23
38,Code,2019-10-25,2019-11-11,18
38,Unit Test,2019-11-12,2019-11-21,10
38,System Test,2019-11-22,2019-12-20,29
39,Project Plan,2020-07-26,2020-08-02,8
39,Requirements Specification,2020-08-03,2020-08-24,22
39,Design Document,2020-08-25,2020-09-15,22
39,Code,2020-09-16,2020-09-30,15
39,Unit Test,2020-10-01,2020-10-10,10
39,System Test,2020-10-11,2020-11-12,33
40,Project Plan,2017-06-30,2017-07-13,14
40,Requirements Specification,2017-07-14,2017-08-03,21
40,Design Document,2017-08-04,2017-08-19,16
40,Code,2017-08-20,2017-09-03,15
40,Unit Test,2017-09-04,2017-09-11,8
40,System Test,2017-09-12,2017-10-29,48
41,Project Plan,2016-03-27,2016-04-03,8
41,Requirements Specification,2016-04-04,2016-04-22,19
41,Design Document,2016-04-23,2016-05-19,27
41,Code,2016-05-20,2016-06-05,17
41,Unit Test,2016-06-06,2016-06-12,7
41,System Test,2016-06-13,2016-07-18,36
42,Project Plan,2016-05-25,2016-06-02,9
42,Requirements Specification,2016-06-03,2016-06-20,18
42,Design Document,2016-06-21,2016-07-22,32
42,Code,2016-07-23,2016-08-07,16
42,Unit Test,2016-08-08,2016-08-14,7
42,System Test,2016-08-15,2016-10-02,49
43,Project Plan,2018-12-23,2019-01-05,14
43,Requirements Specification,2019-01-06,2019-01-28,23
43,Design Document,2019-01-29,2019-02-15,18
43,Code,2019-02-16,2019-02-28,13
43,Unit Test,2019-03-01,2019-03-12,12
43,System Test,2019-03-13,2019-04-13,32
44,Project Plan,2015-10-21,2015-10-30,10
44,Requirements Specification,2015-10-31,2015-11-21,22
44,Design Document,2015-11-22,2015-12-12,21
44,Code,2015-12-13,2015-12-26,14
44,Unit Test,2015-12-27,2015-12-29,3
44,System Test,2015-12-30,2016-01-27,29
45,Project Plan,2020-05-07,2020-05-15,9
45,Requirements Specification,2020-05-16,2020-05-31,16
45,Design Document,2020-06-01,2020-07-01,31
45,Code,2020-07-02,2020-07-11,10
45,Unit Test,2020-07-12,2020-07-20,9
45,System Test,2020-07-21,2020-08-30,41
46,Project Plan,2020-12-27,2021-01-07,12
46,Requirements Specification,2021-01-08,2021-01-22,15
46,Design Document,2021-01-23,2021-02-20,29
46,Code,2021-02-21,2021-03-07,15
46,Unit Test,2021-03-08,2021-03-15,8
46,System Test,2021-03-16,2021-04-28,44
47,Project Plan,2020-05-01,2020-05-10,10
47,Requirements Specification,2020-05-11,2020-05-28,18
47,Design Document,2020-05-29,2020-06-22,25
47,Code,2020-06-23,2020-07-05,13
47,Unit Test,2020-07-06,2020-07-15,10
47,System Test,2020-07-16,2020-08-30,46
48,Project Plan,2018-09-17,2018-09-29,13
48,Requirements Specification,2018-09-30,2018-10-15,16
48,Design Document,2018-10-16,2018-11-17,33
48,Code,2018-11-18,2018-11-26,9
48,Unit Test,2018-11-27,2018-12-05,9
48,System Test,2018-12-06,2019-01-19,45
49,Project Plan,2015-10-28,2015-11-06,10
49,Requirements Specification,2015-11-07,2015-11-24,18
49,Design Document,2015-11-25,2015-12-18,24
49,Code,2015-12-19,2015-12-31,13
49,Unit Test,2016-01-01,2016-01-08,8
49,System Test,2016-01-09,2016-02-25,48
50,Project Plan,2015-10-08,2015-10-17,10
50,Requirements Specification,2015-10-18,2015-11-03,17
50,Design Document,2015-11-04,2015-12-01,28
50,Code,2015-12-02,2015-12-16,15
50,Unit Test,2015-12-17,2015-12-27,11
50,System Test,2015-12-28,2016-02-11,46
51,Project Plan,2020-04-14,2020-04-21,8
51,Requirements Specification,2020-04-22,2020-05-09,18
51,Design Document,2020-05-10,2020-06-05,27
51,Code,2020-06-06,2020-06-21,16
51,Unit Test,2020-06-22,2020-06-30,9
51,System Test,2020-07-01,2020-08-10,41
52,Project Plan,2020-08-29,2020-09-09,12
52,Requirements Specification,2020-09-10,2020-09-27,18
52,Design Document,2020-09-28,2020-10-24,27
52,Code,2020-10-25,2020-11-07,14
52,Unit Test,2020-11-08,2020-11-16,9
52,System Test,2020-11-17,2021-01-05,50
53,Project Plan,2016-02-08,2016-02-18,11
53,Requirements Specification,2016-02-19,2016-03-11,22
53,Design Document,2016-03-12,2016-04-10,30
53,Code,2016-04-11,2016-04-25,15
53,Unit Test,2016-04-26,2016-05-06,11
53,System Test,2016-05-07,2016-06-11,36
54,Project Plan,2020-10-12,2020-10-21,10
54,Requirements Specification,2020-10-22,2020-11-09,19
54,Design Document,2020-11-10,2020-12-04,25
54,Code,2020-12-05,2020-12-20,16
54,Unit Test,2020-12-21,2020-12-28,8
54,System Test,2020-12-29,2021-02-26,60
55,Project Plan,2015-04-17,2015-04-23,7
55,Requirements Specification,2015-04-24,2015-05-09,16
55,Design Document,2015-05-10,2015-06-07,29
55,Code,2015-06-08,2015-06-24,17
55,Unit Test,2015-06-25,2015-07-05,11
55,System Test,2015-07-06,2015-08-20,46
56,Project Plan,2015-04-19,2015-04-27,9
56,Requirements Specification,2015-04-28,2015-05-14,17
56,Design Document,2015-05-15,2015-06-08,25
56,Code,2015-06-09,2015-06-20,12
56,Unit Test,2015-06-21,2015-07-01,11
56,System Test,2015-07-02,2015-08-08,38
57,Project Plan,2015-07-04,2015-07-11,8
57,Requirements Specification,2015-07-12,2015-07-30,19
57,Design Document,2015-07-31,2015-08-25,26
57,Code,2015-08-26,2015-09-07,13
57,Unit Test,2015-09-08,2015-09-15,8
57,System Test,2015-09-16,2015-10-27,42
58,Project Plan,2015-05-15,2015-05-24,10
58,Requirements Specification,2015-05-25,2015-06-11,18
58,Design Document,2015-06-12,2015-07-04,23
58,Code,2015-07-05,2015-07-19,15
58,Unit Test,2015-07-20,2015-07-26,7
58,System Test,2015-07-27,2015-08-20,25
59,Project Plan,2019-09-09,2019-09-16,8
59,Requirements Specification,2019-09-17,2019-10-05,19
59,Design Document,2019-10-06,2019-10-31,26
59,Code,2019-11-01,2019-11-19,19
59,Unit Test,2019-11-20,2019-11-30,11
59,System Test,2019-12-01,2020-01-07,38
60,Project Plan,2020-08-05,2020-08-13,9
60,Requirements Specification,2020-08-14,2020-08-29,16
60,Design Document,2020-08-30,2020-09-22,24
60,Code,2020-09-23,2020-10-06,14
60,Unit Test,2020-10-07,2020-10-16,10
60,System Test,2020-10-17,2020-11-16,31
61,Project Plan,2019-07-26,2019-08-05,11
61,Requirements Specification,2019-08-06,2019-08-29,24
61,Design Document,2019-08-30,2019-09-22,24
61,Code,2019-09-23,2019-10-08,16
61,Unit Test,2019-10-09,2019-10-19,11
61,System Test,2019-10-20,2019-11-23,35
62,Project Plan,2015-06-04,2015-06-13,10
62,Requirements Specification,2015-06-14,2015-07-03,20
62,Design Document,2015-07-04,2015-07-28,25
62,Code,2015-07-29,2015-08-09,12
62,Unit Test,2015-08-10,2015-08-19,10
62,System Test,2015-08-20,2015-10-02,44
63,Project Plan,2020-02-14,2020-02-25,12
63,Requirements Specification,2020-02-26,2020-03-18,22
63,Design Document,2020-03-19,2020-04-20,33
63,Code,2020-04-21,2020-05-02,12
63,Unit Test,2020-05-03,2020-05-13,11
63,System Test,2020-05-14,2020-06-23,41
64,Project Plan,2018-10-13,2018-10-26,14
64,Requirements Specification,2018-10-27,2018-11-12,17
64,Design Document,2018-11-13,2018-12-03,21
64,Code,2018-12-04,2018-12-16,13
64,Unit Test,2018-12-17,2018-12-21,5
64,System Test,2018-12-22,2019-01-24,34
65,Project Plan,2015-03-06,2015-03-13,8
65,Requirements Specification,2015-03-14,2015-04-02,20
65,Design Document,2015-04-03,2015-04-28,26
65,Code,2015-04-29,2015-05-18,20
65,Unit Test,2015-05-19,2015-05-29,11
65,System Test,2015-05-30,2015-07-02,34
66,Project Plan,2017-06-14,2017-06-21,8
66,Requirements Specification,2017-06-22,2017-07-12,21
66,Design Document,2017-07-13,2017-07-31,19
66,Code,2017-08-01,2017-08-20,20
66,Unit Test,2017-08-21,2017-09-01,12
66,System Test,2017-09-02,2017-10-06,35
67,Project Plan,2018-03-17,2018-03-22,6
67,Requirements Specification,2018-03-23,2018-04-15,24
67,Design Document,2018-04-16,2018-05-09,24
67,Code,2018-05-10,2018-05-27,18
67,Unit Test,2018-05-28,2018-06-02,6
67,System Test,2018-06-03,2018-07-06,34
68,Project Plan,2018-01-30,2018-02-08,10
68,Requirements Specification,2018-02-09,2018-02-28,20
68,Design Document,2018-03-01,2018-03-23,23
68,Code,2018-03-24,2018-04-08,16
68,Unit Test,2018-04-09,2018-04-15,7
68,System Test,2018-04-16,2018-05-23,38
69,Project Plan,2019-05-07,2019-05-16,10
69,Requirements Specification,2019-05-17,2019-06-06,21
69,Design Document,2019-06-07,2019-07-03,27
69,Code,2019-07-04,2019-07-14,11
69,Unit Test,2019-07-15,2019-07-20,6
69,System Test,2019-07-21,2019-09-10,52
70,Project Plan,2016-04-02,2016-04-11,10
70,Requirements Specification,2016-04-12,2016-04-28,17
70,Design Document,2016-04-29,2016-05-29,31
70,Code,2016-05-30,2016-06-13,15
70,Unit Test,2016-06-14,2016-06-25,12
70,System Test,2016-06-26,2016-08-04,40
71,Project Plan,2020-03-06,2020-03-19,14
71,Requirements Specification,2020-03-20,2020-04-13,25
71,Design Document,2020-04-14,2020-05-07,24
71,Code,2020-05-08,2020-05-24,17
71,Unit Test,2020-05-25,2020-06-04,11
71,System Test,2020-06-05,2020-07-27,53
72,Project Plan,2015-03-18,2015-03-25,8
72,Requirements Specification,2015-03-26,2015-04-16,22
72,Design Document,2015-04-17,2015-05-15,29
72,Code,2015-05-16,2015-05-24,9
72,Unit Test,2015-05-25,2015-05-31,7
72,System Test,2015-06-01,2015-06-19,19
73,Project Plan,2017-10-05,2017-10-13,9
73,Requirements Specification,2017-10-14,2017-11-04,22
73,Design Document,2017-11-05,2017-12-05,31
73,Code,2017-12-06,2017-12-20,15
73,Unit Test,2017-12-21,2018-01-02,13
73,System Test,2018-01-03,2018-01-28,26
74,Project Plan,2018-04-02,2018-04-07,6
74,Requirements Specification,2018-04-08,2018-04-26,19
74,Design Document,2018-04-27,2018-05-22,26
74,Code,2018-05-23,2018-06-05,14
74,Unit Test,2018-06-06,2018-06-10,5
74,System Test,2018-06-11,2018-07-19,39
75,Project Plan,2020-07-21,2020-07-27,7
75,Requirements Specification,2020-07-28,2020-08-18,22
75,Design Document,2020-08-19,2020-09-13,26
75,Code,2020-09-14,2020-09-25,12
75,Unit Test,2020-09-26,2020-10-03,8
75,System Test,2020-10-04,2020-11-01,29
76,Project Plan,2018-01-30,2018-02-07,9
76,Requirements Specification,2018-02-08,2018-03-01,22
76,Design Document,2018-03-02,2018-03-22,21
76,Code,2018-03-23,2018-04-07,16
76,Unit Test,2018-04-08,2018-04-15,8
76,System Test,2018-04-16,2018-05-17,32
77,Project Plan,2017-12-03,2017-12-11,9
77,Requirements Specification,2017-12-12,2017-12-27,16
77,Design Document,2017-12-28,2018-01-18,22
77,Code,2018-01-19,2018-01-29,11
77,Unit Test,2018-01-30,2018-02-11,13
77,System Test,2018-02-12,2018-03-23,40
78,Project Plan,2020-03-31,2020-04-07,8
78,Requirements Specification,2020-04-08,2020-04-27,20
78,Design Document,2020-04-28,2020-05-21,24
78,Code,2020-05-22,2020-06-04,14
78,Unit Test,2020-06-05,2020-06-15,11
78,System Test,2020-06-16,2020-08-01,47
79,Project Plan,2018-05-02,2018-05-09,8
79,Requirements Specification,2018-05-10,2018-05-27,18
79,Design Document,2018-05-28,2018-06-19,23
79,Code,2018-06-20,2018-06-27,8
79,Unit Test,2018-06-28,2018-07-03,6
79,System Test,2018-07-04,2018-08-25,53
80,Project Plan,2018-07-28,2018-08-09,13
80,Requirements Specification,2018-08-10,2018-08-28,19
80,Design Document,2018-08-29,2018-09-24,27
80,Code,2018-09-25,2018-10-09,15
80,Unit Test,2018-10-10,2018-10-25,16
80,System Test,2018-10-26,2018-12-15,51
81,Project Plan,2016-06-17,2016-06-25,9
81,Requirements Specification,2016-06-26,2016-07-12,17
81,Design Document,2016-07-13,2016-07-30,18
81,Code,2016-07-31,2016-08-14,15
81,Unit Test,2016-08-15,2016-08-22,8
81,System Test,2016-08-23,2016-09-16,25
82,Project Plan,2018-08-15,2018-08-22,8
82,Requirements Specification,2018-08-23,2018-09-07,16
82,Design Document,2018-09-08,2018-10-08,31
82,Code,2018-10-09,2018-10-25,17
82,Unit Test,2018-10-26,2018-11-03,9
82,System Test,2018-11-04,2018-12-27,54
83,Project Plan,2020-09-02,2020-09-11,10
83,Requirements Specification,2020-09-12,2020-09-28,17
83,Design Document,2020-09-29,2020-10-29,31
83,Code,2020-10-30,2020-11-14,16
83,Unit Test,2020-11-15,2020-11-21,7
83,System Test,2020-11-22,2020-12-29,38
84,Project Plan,2017-04-04,2017-04-11,8
84,Requirements Specification,2017-04-12,2017-04-26,15
84,Design Document,2017-04-27,2017-05-24,28
84,Code,2017-05-25,2017-06-13,20
84,Unit Test,2017-06-14,2017-06-20,7
84,System Test,2017-06-21,2017-08-04,45
85,Project Plan,2017-03-08,2017-03-15,8
85,Requirements Specification,2017-03-16,2017-04-02,18
85,Design Document,2017-04-03,2017-04-24,22
85,Code,2017-04-25,2017-05-06,12
85,Unit Test,2017-05-07,2017-05-16,10
85,System Test,2017-05-17,2017-06-16,31
86,Project Plan,2015-04-18,2015-04-27,10
86,Requirements Specification,2015-04-28,2015-05-16,19
86,Design Document,2015-05-17,2015-06-09,24
86,Code,2015-06-10,2015-06-21,12
86,Unit Test,2015-06-22,2015-06-29,8
86,System Test,2015-06-30,2015-08-15,47
87,Project Plan,2017-07-19,2017-07-29,11
87,Requirements Specification,2017-07-30,2017-08-15,17
87,Design Document,2017-08-16,2017-09-09,25
87,Code,2017-09-10,2017-09-26,17
87,Unit Test,2017-09-27,2017-10-02,6
87,System Test,2017-10-03,2017-11-16,45
88,Project Plan,2018-06-20,2018-06-27,8
88,Requirements Specification,2018-06-28,2018-07-18,21
88,Design Document,2018-07-19,2018-08-08,21
88,Code,2018-08-09,2018-08-17,9
88,Unit Test,2018-08-18,2018-08-23,6
88,System Test,2018-08-24,2018-10-02,40
89,Project Plan,2017-09-12,2017-09-21,10
89,Requirements Specification,2017-09-22,2017-10-08,17
89,Design Document,2017-10-09,2017-11-04,27
89,Code,2017-11-05,2017-11-14,10
89,Unit Test,2017-11-15,2017-11-23,9
89,System Test,2017-11-24,2017-12-20,27
90,Project Plan,2019-04-24,2019-05-01,8
90,Requirements Specification,2019-05-02,2019-05-21,20
90,Design Document,2019-05-22,2019-06-11,21
90,Code,2019-06-12,2019-06-24,13
90,Unit Test,2019-06-25,2019-07-06,12
90,System Test,2019-07-07,2019-08-09,34
91,Project Plan,2017-02-19,2017-03-01,11
91,Requirements Specification,2017-03-02,2017-03-17,16
91,Design Document,2017-03-18,2017-04-13,27
91,Code,2017-04-14,2017-05-02,19
91,Unit Test,2017-05-03,2017-05-07,5
91,System Test,2017-05-08,2017-06-08,32
92,Project Plan,2019-01-03,2019-01-13,11
92,Requirements Specification,2019-01-14,2019-02-01,19
92,Design Document,2019-02-02,2019-02-27,26
92,Code,2019-02-28,2019-03-12,13
92,Unit Test,2019-03-13,2019-03-22,10
92,System Test,2019-03-23,2019-04-29,38
93,Project Plan,2017-05-08,2017-05-19,12
93,Requirements Specification,2017-05-20,2017-06-08,20
93,Design Document,2017-06-09,2017-07-04,26
93,Code,2017-07-05,2017-07-17,13
93,Unit Test,2017-07-18,2017-07-26,9
93,System Test,2017-07-27,2017-08-30,35
94,Project Plan,2017-12-08,2017-12-17,10
94,Requirements Specification,2017-12-18,2018-01-04,18
94,Design Document,2018-01-05,2018-01-30,26
94,Code,2018-01-31,2018-02-20,21
94,Unit Test,2018-02-21,2018-03-03,11
94,System Test,2018-03-04,2018-04-08,36
95,Project Plan,2019-09-15,2019-09-26,12
95,Requirements Specification,2019-09-27,2019-10-14,18
95,Design Document,2019-10-15,2019-10-30,16
95,Code,2019-10-31,2019-11-10,11
95,Unit Test,2019-11-11,2019-11-16,6
95,System Test,2019-11-17,2019-12-22,36
96,Project Plan,2018-03-05,2018-03-14,10
96,Requirements Specification,2018-03-15,2018-04-08,25
96,Design Document,2018-04-09,2018-05-04,26
96,Code,2018-05-05,2018-05-18,14
96,Unit Test,2018-05-19,2018-05-29,11
96,System Test,2018-05-30,2018-06-15,17
97,Project Plan,2016-12-10,2016-12-19,10
97,Requirements Specification,2016-12-20,2017-01-10,22
97,Design Document,2017-01-11,2017-01-29,19
97,Code,2017-01-30,2017-02-16,18
97,Unit Test,2017-02-17,2017-02-26,10
97,System Test,2017-02-27,2017-04-02,35
98,Project Plan,2015-09-03,2015-09-13,11
98,Requirements Specification,2015-09-14,2015-10-09,26
98,Design Document,2015-10-10,2015-11-03,25
98,Code,2015-11-04,2015-11-18,15
98,Unit Test,2015-11-19,2015-11-27,9
98,System Test,2015-11-28,2015-12-28,31
99,Project Plan,2020-10-10,2020-10-20,11
99,Requirements Specification,2020-10-21,2020-11-06,17
99,Design Document,2020-11-07,2020-12-01,25
99,Code,2020-12-02,2020-12-14,13
99,Unit Test,2020-12-15,2020-12-24,10
99,System Test,2020-12-25,2021-02-05,43
100,Project Plan,2020-04-13,2020-04-24,12
100,Requirements Specification,2020-04-25,2020-05-12,18
100,Design Document,2020-05-13,2020-06-04,23
