ProjectID,ClientID,UnitID,Name,Type,Status,PlannedStartDate,PlannedEndDate,ActualStartDate,ActualEndDate,Price,CreditAt,Progress
63,77,4,Organizational Restructuring,Fixed-price,In Progress (>50%),2024-02-29,2024-05-25,2024-03-24,2024-06-15,76265.76,2024-06-03,30
64,40,8,Risk Management Assessment,Fixed-price,In Progress (>50%),2024-06-07,2024-07-08,2024-06-14,2024-08-05,75294.29,2024-07-12,99
65,75,5,Strategy Development Plan,Time and materials,In Progress (>50%),2024-02-03,2024-06-01,2024-02-07,2024-06-07,52071.48,2024-04-04,73
66,19,2,Competitive Benchmarking Study,Time and materials,On Hold/Cancelled,2024-01-08,2024-03-08,2024-01-09,2024-03-16,42583.13,2024-02-26,0
67,75,5,Market Analysis Report,Fixed-price,In Progress (<50%),2024-02-27,2024-05-11,2024-04-12,2024-06-19,76288.7,2024-04-15,11
68,76,9,Organizational Restructuring,Time and materials,Completed,2024-01-17,2024-03-16,2024-01-21,2024-04-12,87140.38,2024-02-14,100
69,29,6,Competitive Benchmarking Study,Fixed-price,Not Started,2024-04-19,2024-09-04,2024-04-20,2024-09-23,56865.74,2024-05-22,0
70,87,2,Organizational Restructuring,Fixed-price,Completed,2024-02-27,2024-07-14,2024-02-28,2024-07-06,12645.26,2024-05-01,100
71,32,8,Talent Management Program,Time and materials,Completed,2024-05-10,2024-08-08,2024-05-26,2024-09-03,59707.54,2024-07-28,100
72,89,1,Customer Experience Improvement,Fixed-price,Not Started,2024-01-23,2024-06-30,2024-02-09,2024-08-02,37377.61,2024-05-30,0
73,38,1,Operational Efficiency Project,Fixed-price,In Progress (>50%),2024-03-16,2024-04-26,2024-05-02,2024-06-03,14937.13,2024-05-29,45
74,56,10,Market Analysis Report,Fixed-price,In Progress (>50%),2024-03-03,2024-04-30,2024-03-05,2024-04-27,47978.96,2024-03-24,83
75,79,7,Sustainability Plan,Fixed-price,Not Started,2024-02-18,2024-04-14,2024-02-21,2024-04-30,68986.27,2024-03-30,0
76,52,2,Digital Transformation Initiative,Fixed-price,In Progress (<50%),2024-02-14,2024-08-05,2024-02-15,2024-08-29,97761.8,2024-02-29,33
77,78,6,Business Process Reengineering,Fixed-price,In Progress (<50%),2024-02-04,2024-07-11,2024-02-05,2024-07-21,16421.46,2024-04-10,32
78,70,10,Financial Performance Review,Fixed-price,In Progress (>50%),2024-05-23,2024-09-07,2024-05-29,2024-09-07,36151.98,2024-07-16,64
79,56,6,Competitive Benchmarking Study,Time and materials,Completed,2024-02-28,2024-07-05,2024-03-19,2024-08-18,53093.71,2024-05-13,100
80,100,5,Operational Efficiency Project,Fixed-price,In Progress (>50%),2024-04-09,2024-06-11,2024-04-16,2024-07-06,90705.54,2024-04-17,57
81,10,9,Supply Chain Optimization,Time and materials,In Progress (>50%),2024-05-07,2024-09-04,2024-05-07,2024-09-17,70910.98,2024-08-28,68
82,74,10,Sustainability Plan,Fixed-price,In Progress (<50%),2024-04-24,2024-08-02,2024-05-10,2024-09-06,64878.97,2024-08-05,57
83,52,4,Risk Management Assessment,Fixed-price,In Progress (>50%),2024-05-24,2024-08-13,2024-07-07,2024-09-24,33777.34,2024-08-04,45
84,99,8,Change Management Strategy,Time and materials,Completed,2024-01-02,2024-04-20,2024-01-23,2024-05-08,65919.26,2024-04-20,100
85,24,8,Financial Performance Review,Time and materials,In Progress (<50%),2024-03-11,2024-06-17,2024-03-13,2024-07-14,51741.2,2024-04-20,74
86,85,5,Business Process Reengineering,Time and materials,In Progress (<50%),2024-05-26,2024-11-22,2024-05-31,2024-11-17,12549.79,2024-06-21,10
87,15,3,Change Management Strategy,Time and materials,In Progress (<50%),2024-03-14,2024-06-10,2024-03-28,2024-06-19,63931.71,2024-06-11,64
88,39,3,IT System Integration,Fixed-price,In Progress (>50%),2024-04-11,2024-05-30,2024-05-20,2024-07-08,27870.04,2024-07-06,6
89,35,2,Risk Management Assessment,Time and materials,On Hold/Cancelled,2024-03-11,2024-04-23,2024-03-14,2024-05-16,69055.22,2024-03-28,0
90,13,7,Market Analysis Report,Fixed-price,Not Started,2024-03-15,2024-06-28,2024-03-20,2024-07-24,14413.98,2024-06-29,0
91,87,10,Change Management Strategy,Time and materials,Completed,2024-02-17,2024-07-10,2024-03-20,2024-08-01,14576.64,2024-05-07,100
92,54,4,Risk Management Assessment,Fixed-price,Completed,2024-01-22,2024-07-11,2024-02-25,2024-08-28,43791.88,2024-06-03,100
93,51,1,Customer Experience Improvement,Fixed-price,In Progress (<50%),2024-02-15,2024-07-27,2024-02-18,2024-08-23,78557.37,2024-08-19,71
94,99,3,Sustainability Plan,Fixed-price,In Progress (>50%),2024-03-21,2024-07-14,2024-03-27,2024-08-02,57371.87,2024-06-08,36
95,43,10,Financial Performance Review,Fixed-price,In Progress (>50%),2024-04-24,2024-09-14,2024-04-28,2024-09-09,64384.98,2024-05-28,37
96,9,8,Organizational Restructuring,Fixed-price,Completed,2024-01-06,2024-04-16,2024-01-11,2024-05-19,16848.42,2024-05-18,100
97,62,2,Risk Management Assessment,Fixed-price,In Progress (>50%),2024-01-12,2024-06-24,2024-01-15,2024-07-22,78089.96,2024-04-03,46
98,82,7,IT System Integration,Time and materials,In Progress (>50%),2024-03-31,2024-07-07,2024-04-03,2024-07-07,15390.3,2024-06-05,98
99,62,3,Operational Efficiency Project,Time and materials,In Progress (>50%),2024-03-11,2024-05-08,2024-03-17,2024-06-10,23324.76,2024-04-15,73
100,57,7,Business Process Reengineering,Time and materials,On Hold/Cancelled,2024-04-20,2024-09-24,2024-05-07,2024-10-30,70352.22,2024-07-26,0
