ProjectID,ClientID,UnitID,Name,Type,Status,PlannedStartDate,PlannedEndDate,ActualStartDate,ActualEndDate,Price,CreditAt,Progress
16,58,1,Operational Efficiency Project,Fixed-price,In Progress (<50%),2024-04-20,2024-08-05,2024-04-24,2024-08-30,54558.2,2024-07-14,32
17,12,8,Competitive Benchmarking Study,Fixed-price,In Progress (<50%),2024-01-03,2024-02-11,2024-01-07,2024-02-29,69323.4,2024-01-26,52
18,36,10,Organizational Restructuring,Fixed-price,In Progress (<50%),2024-02-02,2024-04-02,2024-02-08,2024-04-14,89309.02,2024-04-01,74
19,49,5,IT System Integration,Fixed-price,Not Started,2024-03-07,2024-06-30,2024-04-24,2024-08-27,33986.22,2024-08-20,0
20,61,7,Financial Performance Review,Fixed-price,Completed,2024-01-10,2024-06-16,2024-01-14,2024-06-13,17843.07,2024-03-31,100
21,13,3,Business Process Reengineering,Time and materials,In Progress (<50%),2024-02-24,2024-05-02,2024-02-26,2024-05-21,49360.04,2024-05-16,70
22,96,3,Digital Transformation Initiative,Fixed-price,On Hold/Cancelled,2024-04-27,2024-09-11,2024-05-11,2024-10-16,15588.34,2024-05-27,0
23,28,7,Competitive Benchmarking Study,Time and materials,Not Started,2024-01-14,2024-05-18,2024-01-14,2024-05-18,86289.61,2024-02-29,0
24,56,4,Supply Chain Optimization,Fixed-price,In Progress (<50%),2024-05-29,2024-09-26,2024-06-17,2024-10-15,74949.95,2024-10-03,61
25,65,10,Competitive Benchmarking Study,Time and materials,On Hold/Cancelled,2024-03-12,2024-06-24,2024-03-13,2024-06-30,45681.69,2024-05-15,0
26,41,6,Customer Experience Improvement,Fixed-price,Completed,2024-04-05,2024-06-14,2024-04-07,2024-06-28,92456.45,2024-05-14,100
27,10,2,Risk Management Assessment,Time and materials,In Progress (<50%),2024-04-10,2024-08-27,2024-04-26,2024-09-03,70397.2,2024-04-30,56
28,79,9,Market Analysis Report,Time and materials,In Progress (<50%),2024-03-16,2024-04-20,2024-03-16,2024-04-12,82703.69,2024-03-25,26
29,16,8,Supply Chain Optimization,Fixed-price,In Progress (<50%),2024-04-12,2024-06-18,2024-04-29,2024-07-27,24724.85,2024-05-27,92
30,96,9,Customer Experience Improvement,Fixed-price,In Progress (<50%),2024-03-15,2024-04-17,2024-03-18,2024-05-04,45756.45,2024-03-22,15
31,68,1,Talent Management Program,Fixed-price,In Progress (>50%),2024-01-17,2024-06-08,2024-01-31,2024-07-18,30977.41,2024-02-14,61
32,32,2,Customer Experience Improvement,Time and materials,In Progress (>50%),2024-04-17,2024-05-22,2024-05-07,2024-06-30,64673.97,2024-05-19,53
33,28,6,Organizational Restructuring,Fixed-price,In Progress (>50%),2024-04-07,2024-08-29,2024-04-11,2024-08-25,73713.01,2024-06-17,34
34,11,7,Financial Performance Review,Time and materials,Completed,2024-03-14,2024-05-18,2024-03-21,2024-05-19,98617.98,2024-05-04,100
35,92,4,Talent Management Program,Time and materials,Not Started,2024-04-16,2024-08-05,2024-05-08,2024-09-08,88889.53,2024-07-02,0
36,31,3,Organizational Restructuring,Time and materials,In Progress (<50%),2024-03-01,2024-06-19,2024-03-07,2024-06-28,47028.56,2024-05-28,83
37,46,1,Risk Management Assessment,Time and materials,In Progress (>50%),2024-03-26,2024-05-10,2024-03-30,2024-05-25,65233.25,2024-05-13,5
38,8,8,Supply Chain Optimization,Fixed-price,In Progress (<50%),2024-03-20,2024-09-01,2024-03-26,2024-09-18,79014.78,2024-06-05,77
39,34,2,Operational Efficiency Project,Time and materials,In Progress (>50%),2024-01-25,2024-05-18,2024-01-26,2024-05-22,42951.57,2024-02-09,77
40,2,10,Market Analysis Report,Time and materials,In Progress (<50%),2024-01-27,2024-04-21,2024-02-01,2024-04-18,22274.91,2024-02-12,69
41,85,5,Customer Experience Improvement,Fixed-price,In Progress (>50%),2024-04-17,2024-08-05,2024-04-17,2024-08-09,49542.53,2024-07-25,5
42,16,5,Organizational Restructuring,Fixed-price,In Progress (>50%),2024-01-21,2024-04-23,2024-02-09,2024-05-14,89465.15,2024-05-08,19
43,18,3,Market Analysis Report,Time and materials,On Hold/Cancelled,2024-02-12,2024-06-14,2024-02-17,2024-06-11,91388.52,2024-03-21,0
44,20,10,Operational Efficiency Project,Time and materials,In Progress (<50%),2024-04-14,2024-05-22,2024-04-16,2024-06-05,35977.6,2024-05-13,48
45,1,6,Sustainability Plan,Time and materials,In Progress (<50%),2024-01-27,2024-06-26,2024-02-17,2024-07-16,72805.97,2024-06-21,4
46,75,1,Competitive Benchmarking Study,Fixed-price,In Progress (>50%),2024-03-21,2024-06-25,2024-03-27,2024-07-03,79396.59,2024-06-28,16
47,74,9,Talent Management Program,Time and materials,Completed,2024-05-01,2024-07-06,2024-05-06,2024-07-29,52608.64,2024-05-28,100
48,90,10,Strategy Development Plan,Fixed-price,Completed,2024-05-08,2024-09-27,2024-06-04,2024-11-21,17372.46,2024-07-07,100
49,61,8,Talent Management Program,Fixed-price,In Progress (>50%),2024-05-29,2024-10-11,2024-07-03,2024-12-15,32375.04,2024-08-24,3
50,28,8,Digital Transformation Initiative,Fixed-price,In Progress (>50%),2024-05-13,2024-08-05,2024-05-15,2024-07-28,42052.43,2024-06-14,87
51,72,4,Change Management Strategy,Time and materials,Completed,2024-02-18,2024-04-16,2024-03-15,2024-05-17,82686.69,2024-03-31,100
52,50,7,Organizational Restructuring,Fixed-price,In Progress (>50%),2024-02-03,2024-07-09,2024-03-02,2024-08-30,70423.48,2024-04-14,66
53,32,4,Change Management Strategy,Fixed-price,In Progress (>50%),2024-01-18,2024-03-02,2024-01-21,2024-03-14,51782.27,2024-03-05,29
54,81,10,Supply Chain Optimization,Fixed-price,In Progress (>50%),2024-03-13,2024-07-11,2024-03-13,2024-07-22,21356.99,2024-07-03,83
55,7,3,Financial Performance Review,Fixed-price,In Progress (<50%),2024-05-24,2024-10-02,2024-05-30,2024-10-16,39219.3,2024-06-12,62
56,4,5,Talent Management Program,Fixed-price,In Progress (<50%),2024-05-26,2024-08-29,2024-06-13,2024-10-05,45147.28,2024-07-25,54
57,78,5,Digital Transformation Initiative,Time and materials,In Progress (<50%),2024-03-08,2024-07-21,2024-04-16,2024-09-22,61608.36,2024-06-14,66
58,70,5,Organizational Restructuring,Time and materials,In Progress (<50%),2024-04-11,2024-05-11,2024-06-03,2024-07-09,37772.05,2024-06-12,98
59,11,4,Strategy Development Plan,Time and materials,In Progress (>50%),2024-02-08,2024-05-05,2024-03-19,2024-07-05,62614.26,2024-05-01,19
60,65,1,Talent Management Program,Fixed-price,In Progress (<50%),2024-03-07,2024-05-27,2024-03-25,2024-06-27,27169.78,2024-06-18,28
61,36,1,Business Process Reengineering,Fixed-price,On Hold/Cancelled,2024-05-25,2024-09-03,2024-06-18,2024-10-19,20176.33,2024-07-23,0
62,38,1,Organizational Restructuring,Time and materials,In Progress (>50%),2024-02-25,2024-05-09,2024-03-02,2024-05-13,83586.36,2024-03-20,59
63,94,7,Financial Performance Review,Time and materials,In Progress (>50%),2024-01-17,2024-03-09,2024-02-10,2024-04-12,83386.76,2024-03-29,96
64,67,5,Risk Management Assessment,Time and materials,In Progress (>50%),2024-05-07,2024-06-22,2024-05-12,2024-07-08,95195.88,2024-07-04,62
65,65,10,Organizational Restructuring,Fixed-price,In Progress (<50%),2024-03-12,2024-07-26,2024-03-13,2024-08-10,28056.98,2024-05-02,49
66,78,10,Digital Transformation Initiative,Time and materials,On Hold/Cancelled,2024-05-08,2024-08-28,2024-05-10,2024-08-23,40993.41,2024-07-20,0
67,55,4,Digital Transformation Initiative,Time and materials,In Progress (>50%),2024-06-03,2024-10-31,2024-06-10,2024-11-11,12874.45,2024-09-09,86
68,29,1,Digital Transformation Initiative,Fixed-price,In Progress (>50%),2024-02-20,2024-06-03,2024-02-27,2024-06-15,39116.54,2024-06-14,68
69,98,4,Operational Efficiency Project,Time and materials,In Progress (<50%),2024-05-23,2024-08-27,2024-07-01,2024-10-20,80373.0,2024-09-01,26
70,71,1,Supply Chain Optimization,Time and materials,Completed,2024-01-21,2024-03-07,2024-01-25,2024-03-18,21780.13,2024-03-12,100
71,31,3,Talent Management Program,Time and materials,In Progress (>50%),2024-02-26,2024-05-22,2024-03-04,2024-06-02,56453.38,2024-03-31,8
72,7,10,Business Process Reengineering,Fixed-price,In Progress (>50%),2024-06-07,2024-09-10,2024-06-14,2024-10-13,63956.44,2024-07-07,7
73,56,5,Talent Management Program,Fixed-price,Not Started,2024-03-24,2024-07-28,2024-04-19,2024-09-19,72150.72,2024-06-27,0
74,63,9,Organizational Restructuring,Time and materials,In Progress (>50%),2024-02-22,2024-04-28,2024-03-09,2024-05-15,31072.66,2024-03-18,79
75,79,9,Change Management Strategy,Time and materials,In Progress (<50%),2024-03-15,2024-05-13,2024-04-03,2024-05-30,59432.51,2024-04-30,24
76,37,8,Business Process Reengineering,Fixed-price,Completed,2024-01-09,2024-06-25,2024-02-22,2024-08-15,71385.12,2024-07-30,100
77,59,6,Risk Management Assessment,Fixed-price,Completed,2024-02-10,2024-05-08,2024-02-10,2024-05-23,66964.27,2024-04-07,100
78,23,3,Financial Performance Review,Time and materials,Not Started,2024-02-25,2024-05-06,2024-02-26,2024-05-07,81973.36,2024-03-12,0
79,65,10,IT System Integration,Time and materials,Completed,2024-04-18,2024-10-01,2024-04-22,2024-10-02,68246.3,2024-07-30,100
80,32,9,Competitive Benchmarking Study,Fixed-price,In Progress (<50%),2024-03-22,2024-08-19,2024-04-17,2024-09-19,84983.36,2024-07-19,10
81,93,1,Market Analysis Report,Fixed-price,In Progress (<50%),2024-03-19,2024-07-08,2024-03-22,2024-07-05,21089.44,2024-06-16,36
82,33,8,Strategy Development Plan,Time and materials,In Progress (>50%),2024-01-21,2024-06-09,2024-01-24,2024-06-04,81534.34,2024-02-26,3
83,63,8,Organizational Restructuring,Time and materials,In Progress (<50%),2024-05-12,2024-09-02,2024-05-19,2024-10-08,83620.91,2024-08-24,85
84,25,2,Market Analysis Report,Time and materials,On Hold/Cancelled,2024-01-23,2024-02-23,2024-01-29,2024-03-30,81482.57,2024-03-09,0
85,83,10,Business Process Reengineering,Time and materials,In Progress (<50%),2024-05-08,2024-07-17,2024-05-11,2024-08-16,32824.67,2024-05-30,43
86,71,6,Supply Chain Optimization,Fixed-price,In Progress (>50%),2024-04-05,2024-07-11,2024-04-29,2024-08-05,36505.14,2024-06-15,84
87,28,6,Digital Transformation Initiative,Time and materials,Completed,2024-01-09,2024-05-31,2024-03-04,2024-07-25,59542.85,2024-06-22,100
88,81,6,Sustainability Plan,Fixed-price,On Hold/Cancelled,2024-01-15,2024-03-15,2024-01-21,2024-04-11,15242.76,2024-02-02,0
89,15,4,Financial Performance Review,Time and materials,In Progress (<50%),2024-03-10,2024-06-25,2024-04-25,2024-08-03,63797.99,2024-05-26,82
90,3,3,Market Analysis Report,Fixed-price,In Progress (>50%),2024-01-06,2024-03-24,2024-02-15,2024-05-02,71769.87,2024-03-01,38
91,91,8,Competitive Benchmarking Study,Time and materials,Completed,2024-06-07,2024-08-18,2024-06-12,2024-08-23,96958.85,2024-07-14,100
92,23,9,Organizational Restructuring,Time and materials,In Progress (<50%),2024-03-15,2024-06-26,2024-03-22,2024-07-23,61400.69,2024-05-09,8
93,68,1,Operational Efficiency Project,Time and materials,In Progress (>50%),2024-05-30,2024-09-10,2024-06-26,2024-10-18,12868.54,2024-09-11,51
94,76,10,Digital Transformation Initiative,Time and materials,On Hold/Cancelled,2024-05-19,2024-09-26,2024-05-24,2024-10-17,15583.43,2024-10-05,0
95,18,5,Supply Chain Optimization,Fixed-price,In Progress (>50%),2024-02-03,2024-03-21,2024-02-03,2024-04-20,72914.0,2024-03-13,4
96,49,7,Organizational Restructuring,Fixed-price,In Progress (<50%),2024-05-22,2024-10-07,2024-05-22,2024-10-26,73043.28,2024-07-28,30
97,1,9,Business Process Reengineering,Fixed-price,In Progress (>50%),2024-05-31,2024-09-11,2024-06-05,2024-09-19,23495.9,2024-06-24,33
98,45,10,Strategy Development Plan,Fixed-price,In Progress (>50%),2024-02-18,2024-07-21,2024-03-15,2024-08-19,62689.88,2024-05-02,60
99,33,9,Talent Management Program,Fixed-price,In Progress (>50%),2024-03-10,2024-08-05,2024-03-25,2024-09-09,26268.23,2024-07-30,98
100,7,1,Talent Management Program,Time and materials,Completed,2024-05-20,2024-07-25,2024-06-13,2024-08-29,34466.92,2024-07-20,100
